****************** Mapping Result ********************
144
core_0
   node  r_index  index_r  | AG_index  xbar_num  input_cycle
      1      0       0     |     0         1         21
      1      0       1     |     1         1         21
      1      0       2     |     2         1         21
      1      1       0     |     3         1         21
      1      1       1     |     4         1         21
      1      1       2     |     5         1         21
      1      2       0     |     6         1         21
      1      2       1     |     7         1         21
      1      2       2     |     8         1         21
      1      3       0     |     9         1         21
      1      3       1     |    10         1         21
      1      3       2     |    11         1         21
      1      4       0     |    12         1         21
      1      4       1     |    13         1         21
      1      4       2     |    14         1         21
      1      5       0     |    15         1         21
      1      5       1     |    16         1         21
      1      5       2     |    17         1         21
      1      6       0     |    18         1         21
      1      6       1     |    19         1         21
      1      6       2     |    20         1         21
      1      7       0     |    21         1         21
      1      7       1     |    22         1         21
      1      7       2     |    23         1         21
      1      8       0     |    24         1         21
      1      8       1     |    25         1         21
      1      8       2     |    26         1         21
      1      9       0     |    27         1         21
      1      9       1     |    28         1         21
      1      9       2     |    29         1         21
      1     10       0     |    30         1         21
      1     10       1     |    31         1         21
      1     10       2     |    32         1         21
      1     11       0     |    33         1         21
      1     11       1     |    34         1         21
      1     11       2     |    35         1         21
      1     12       0     |    36         1         21
      1     12       1     |    37         1         21
      1     12       2     |    38         1         21
      1     13       0     |    39         1         21
      1     13       1     |    40         1         21
      1     13       2     |    41         1         21
      1     14       0     |    42         1         21
      1     14       1     |    43         1         21
      1     14       2     |    44         1         21
      1     15       0     |    45         1         21
      1     15       1     |    46         1         21
      1     15       2     |    47         1         21
      1     16       0     |    48         1         21
      1     16       1     |    49         1         21
      1     16       2     |    50         1         21
      1     17       0     |    51         1         21
      1     17       1     |    52         1         21
      1     17       2     |    53         1         21
      1     18       0     |    54         1         21
      1     18       1     |    55         1         21
      1     18       2     |    56         1         21
      1     19       0     |    57         1         21
      1     19       1     |    58         1         21
      1     19       2     |    59         1         21
      1     20       0     |    60         1         21
      1     20       1     |    61         1         21
      1     20       2     |    62         1         21
      1     21       0     |    63         1         21
core_1
   node  r_index  index_r  | AG_index  xbar_num  input_cycle
      1     21       1     |    64         1         21
      1     21       2     |    65         1         21
      1     22       0     |    66         1         21
      1     22       1     |    67         1         21
      1     22       2     |    68         1         21
      1     23       0     |    69         1         21
      1     23       1     |    70         1         21
      1     23       2     |    71         1         21
      1     24       0     |    72         1         21
      1     24       1     |    73         1         21
      1     24       2     |    74         1         21
      1     25       0     |    75         1         21
      1     25       1     |    76         1         21
      1     25       2     |    77         1         21
      1     26       0     |    78         1         21
      1     26       1     |    79         1         21
      1     26       2     |    80         1         21
      1     27       0     |    81         1         21
      1     27       1     |    82         1         21
      1     27       2     |    83         1         21
      1     28       0     |    84         1         21
      1     28       1     |    85         1         21
      1     28       2     |    86         1         21
      1     29       0     |    87         1         21
      1     29       1     |    88         1         21
      1     29       2     |    89         1         21
      1     30       0     |    90         1         21
      1     30       1     |    91         1         21
      1     30       2     |    92         1         21
